Team_Home,Team_Away,USxg_Home,USxg_Away,Date,USProb_Home,USProb_Away,Season,League
SPAL,Napoli,0.263465,1.90566,2017-09-23,0.0315,0.8188,2017-2018,SerieA
Leicester City,Liverpool,2.88766,1.92902,2017-09-23,0.6388,0.1702,2017-2018,EPL
Dortmund,M'Gladbach,4.84433,1.11994,2017-09-23,0.9675,0.0081,2017-2018,Bundesliga
Málaga,Athletic Club,2.36068,1.93264,2017-09-23,0.4883,0.2779,2017-2018,LaLiga
Metz,Troyes,1.06447,0.628796,2017-09-23,0.4705,0.191,2017-2018,Ligue1
Lyon,Dijon,3.5055,1.68516,2017-09-23,0.7917,0.0734,2017-2018,Ligue1
Caen,Amiens,1.76038,0.0263448,2017-09-23,0.9104,0.0014,2017-2018,Ligue1
Bordeaux,Guingamp,3.22208,1.17579,2017-09-23,0.8503,0.0398,2017-2018,Ligue1
Juventus,Torino,2.78732,0.205593,2017-09-23,0.9401,0.0078,2017-2018,SerieA
Girona,Barcelona,0.90657,1.28645,2017-09-23,0.2374,0.4625,2017-2018,LaLiga
Espanyol,La Coruña,3.02613,1.40609,2017-09-24,0.7492,0.1013,2017-2018,LaLiga
Sampdoria,Milan,1.73266,0.270138,2017-09-24,0.8137,0.0324,2017-2018,SerieA
Hellas Verona,Lazio,0.349857,2.15974,2017-09-24,0.0256,0.8651,2017-2018,SerieA
Crotone,Benevento,1.48495,1.97551,2017-09-24,0.2463,0.5005,2017-2018,SerieA
Saint-Étienne,Rennes,2.00978,1.41106,2017-09-24,0.5405,0.1846,2017-2018,Ligue1
Inter,Genoa,0.614281,0.829654,2017-09-24,0.2354,0.3897,2017-2018,SerieA
Cagliari,Chievo,1.01627,1.41724,2017-09-24,0.2507,0.465,2017-2018,SerieA
Hannover 96,Köln,1.35909,1.10618,2017-09-24,0.4034,0.2767,2017-2018,Bundesliga
Getafe,Villarreal,2.32209,1.04045,2017-09-24,0.7289,0.0789,2017-2018,LaLiga
Brighton,Newcastle Utd,0.507341,1.37001,2017-09-24,0.115,0.6259,2017-2018,EPL
Strasbourg,Nantes,1.38859,0.572934,2017-09-24,0.5861,0.1384,2017-2018,Ligue1
Sassuolo,Bologna,0.359334,1.81659,2017-09-24,0.0403,0.8113,2017-2018,SerieA
Leverkusen,Hamburger SV,2.39337,0.443359,2017-09-24,0.8711,0.0283,2017-2018,Bundesliga
Eibar,Celta Vigo,1.06999,1.13361,2017-09-24,0.3263,0.3537,2017-2018,LaLiga
Las Palmas,Leganés,0.855521,1.5876,2017-09-24,0.1237,0.593,2017-2018,LaLiga
Fiorentina,Atalanta,0.346227,2.53446,2017-09-24,0.0142,0.9101,2017-2018,SerieA
Real Sociedad,Valencia,1.25293,1.87637,2017-09-24,0.1733,0.5414,2017-2018,LaLiga
Marseille,Toulouse,3.19464,0.5552,2017-09-24,0.9145,0.0186,2017-2018,Ligue1
Arsenal,West Brom,2.39316,0.766652,2017-09-25,0.8054,0.048,2017-2018,EPL
Betis,Levante,2.23701,0.383336,2017-09-25,0.8451,0.035,2017-2018,LaLiga
Schalke 04,Leverkusen,0.615732,1.13731,2017-09-29,0.1791,0.5065,2017-2018,Bundesliga
Monaco,Montpellier,0.939163,0.948064,2017-09-29,0.345,0.3085,2017-2018,Ligue1
Celta Vigo,Girona,2.56272,1.32391,2017-09-29,0.6954,0.1171,2017-2018,LaLiga
La Coruña,Getafe,2.41777,1.54261,2017-09-30,0.5836,0.2,2017-2018,LaLiga
Huddersfield,Tottenham,0.196648,1.56089,2017-09-30,0.0364,0.7518,2017-2018,EPL
M'Gladbach,Hannover 96,2.29547,1.37232,2017-09-30,0.6037,0.1629,2017-2018,Bundesliga
Wolfsburg,Mainz 05,0.743969,0.90227,2017-09-30,0.2768,0.36,2017-2018,Bundesliga
Eint Frankfurt,Stuttgart,1.12984,0.884399,2017-09-30,0.4115,0.274,2017-2018,Bundesliga
Augsburg,Dortmund,1.04024,1.93835,2017-09-30,0.1492,0.6103,2017-2018,Bundesliga
Manchester Utd,Crystal Palace,3.47508,0.244321,2017-09-30,0.9735,0.003,2017-2018,EPL
Stoke City,Southampton,2.68136,1.42781,2017-09-30,0.704,0.1225,2017-2018,EPL
West Brom,Watford,1.93896,1.62462,2017-09-30,0.441,0.2669,2017-2018,EPL
West Ham,Swansea City,0.692185,0.178568,2017-09-30,0.4668,0.084,2017-2018,EPL
Bournemouth,Leicester City,1.39901,0.594808,2017-09-30,0.5931,0.1225,2017-2018,EPL
Sevilla,Málaga,2.50129,0.429422,2017-09-30,0.8817,0.0246,2017-2018,LaLiga
Paris S-G,Bordeaux,2.40637,2.19609,2017-09-30,0.4255,0.3261,2017-2018,Ligue1
Udinese,Sampdoria,3.62989,0.521379,2017-09-30,0.9703,0.0043,2017-2018,SerieA
Levante,Alavés,1.02629,2.5346,2017-09-30,0.0798,0.7574,2017-2018,LaLiga
Hamburger SV,Werder Bremen,0.957096,0.426954,2017-09-30,0.4805,0.1507,2017-2018,Bundesliga
Chelsea,Manchester City,0.911532,1.23068,2017-09-30,0.2624,0.4166,2017-2018,EPL
Rennes,Caen,0.698792,1.40792,2017-09-30,0.1547,0.5626,2017-2018,Ligue1
Dijon,Strasbourg,1.55525,0.668952,2017-09-30,0.6181,0.1071,2017-2018,Ligue1
Guingamp,Toulouse,0.952285,0.569784,2017-09-30,0.4552,0.1845,2017-2018,Ligue1
Nantes,Metz,2.21251,1.3633,2017-09-30,0.5883,0.1722,2017-2018,Ligue1
Genoa,Bologna,1.5093,0.869953,2017-09-30,0.5358,0.1783,2017-2018,SerieA
Leganés,Atlético Madrid,0.421294,0.545341,2017-09-30,0.2191,0.3213,2017-2018,LaLiga
Real Sociedad,Betis,1.99991,2.06359,2017-10-01,0.3661,0.3994,2017-2018,LaLiga
Napoli,Cagliari,2.97407,0.10693,2017-10-01,0.966,0.0037,2017-2018,SerieA
Arsenal,Brighton,2.47818,0.386343,2017-10-01,0.8747,0.0273,2017-2018,EPL
Freiburg,Hoffenheim,1.24882,0.627194,2017-10-01,0.5487,0.1666,2017-2018,Bundesliga
Benevento,Inter,1.28824,1.95792,2017-10-01,0.2259,0.533,2017-2018,SerieA
Chievo,Fiorentina,1.14303,1.44549,2017-10-01,0.2941,0.4361,2017-2018,SerieA
Lazio,Sassuolo,4.08123,1.72059,2017-10-01,0.862,0.0411,2017-2018,SerieA
SPAL,Crotone,2.51356,0.539744,2017-10-01,0.92,0.0154,2017-2018,SerieA
Torino,Hellas Verona,1.5648,3.21572,2017-10-01,0.0756,0.7891,2017-2018,SerieA
Troyes,Saint-Étienne,0.806682,1.28401,2017-10-01,0.2075,0.4936,2017-2018,Ligue1
Everton,Burnley,0.93376,0.383977,2017-10-01,0.4844,0.1484,2017-2018,EPL
Hertha BSC,Bayern Munich,1.66354,1.51044,2017-10-01,0.4113,0.316,2017-2018,Bundesliga
Barcelona,Las Palmas,4.83674,0.684959,2017-10-01,0.9854,0.002,2017-2018,LaLiga
Angers,Lyon,0.999606,1.5737,2017-10-01,0.2083,0.5257,2017-2018,Ligue1
Newcastle Utd,Liverpool,0.280437,1.64475,2017-10-01,0.0381,0.7853,2017-2018,EPL
Milan,Roma,0.781639,1.18948,2017-10-01,0.2267,0.4649,2017-2018,SerieA
Köln,RB Leipzig,1.34012,3.09763,2017-10-01,0.0845,0.7757,2017-2018,Bundesliga
Valencia,Athletic Club,2.6265,2.60881,2017-10-01,0.3878,0.3904,2017-2018,LaLiga
Villarreal,Eibar,2.76075,0.539665,2017-10-01,0.8971,0.02,2017-2018,LaLiga
Real Madrid,Espanyol,3.02561,0.278294,2017-10-01,0.9409,0.0086,2017-2018,LaLiga
Atalanta,Juventus,1.35989,3.15377,2017-10-01,0.0459,0.8296,2017-2018,SerieA
Nice,Marseille,2.67558,2.56739,2017-10-01,0.4078,0.3536,2017-2018,Ligue1
Stuttgart,Köln,2.18945,1.58359,2017-10-13,0.5347,0.2376,2017-2018,Bundesliga
Lyon,Monaco,1.79765,1.86517,2017-10-13,0.3503,0.3926,2017-2018,Ligue1
Espanyol,Levante,2.47349,0.91221,2017-10-13,0.7679,0.0778,2017-2018,LaLiga
Athletic Club,Sevilla,1.12259,1.79545,2017-10-14,0.2032,0.5537,2017-2018,LaLiga
Liverpool,Manchester Utd,1.92702,0.230358,2017-10-14,0.8359,0.0295,2017-2018,EPL
Bayern Munich,Freiburg,1.586,0.345885,2017-10-14,0.7015,0.0706,2017-2018,Bundesliga
Hoffenheim,Augsburg,1.92073,0.918991,2017-10-14,0.6205,0.1485,2017-2018,Bundesliga
Hannover 96,Eint Frankfurt,0.6536,0.876712,2017-10-14,0.2344,0.4032,2017-2018,Bundesliga
Hertha BSC,Schalke 04,0.0254617,1.85479,2017-10-14,0.0017,0.9398,2017-2018,Bundesliga
Mainz 05,Hamburger SV,1.24944,1.99466,2017-10-14,0.167,0.5796,2017-2018,Bundesliga
Swansea City,Huddersfield,1.65446,0.596086,2017-10-14,0.7265,0.0505,2017-2018,EPL
Tottenham,Bournemouth,1.95684,0.17504,2017-10-14,0.8589,0.0194,2017-2018,EPL
Burnley,West Ham,0.70219,0.835192,2017-10-14,0.2578,0.3734,2017-2018,EPL
Crystal Palace,Chelsea,1.51873,0.651919,2017-10-14,0.6143,0.1395,2017-2018,EPL
Manchester City,Stoke City,4.45388,0.681236,2017-10-14,0.9815,0.0022,2017-2018,EPL
Getafe,Real Madrid,0.855336,2.22268,2017-10-14,0.0813,0.7342,2017-2018,LaLiga
Dijon,Paris S-G,0.704259,2.55828,2017-10-14,0.0625,0.8102,2017-2018,Ligue1
Juventus,Lazio,2.32779,1.68134,2017-10-14,0.5432,0.2012,2017-2018,SerieA
Dortmund,RB Leipzig,2.11212,2.39084,2017-10-14,0.2739,0.4479,2017-2018,Bundesliga
Alavés,Real Sociedad,0.544525,0.875381,2017-10-14,0.201,0.4383,2017-2018,LaLiga
Watford,Arsenal,1.63418,0.988468,2017-10-14,0.5528,0.1661,2017-2018,EPL
Saint-Étienne,Metz,2.33843,0.33881,2017-10-14,0.9068,0.0147,2017-2018,Ligue1
Toulouse,Amiens,1.46173,0.240109,2017-10-14,0.7249,0.048,2017-2018,Ligue1
Caen,Angers,1.31459,2.02926,2017-10-14,0.2048,0.5638,2017-2018,Ligue1
Guingamp,Rennes,3.83243,0.736792,2017-10-14,0.9486,0.0118,2017-2018,Ligue1
Lille,Troyes,1.26975,1.53577,2017-10-14,0.2641,0.4358,2017-2018,Ligue1
Roma,Napoli,0.331133,1.49475,2017-10-14,0.0729,0.6959,2017-2018,SerieA
Atlético Madrid,Barcelona,0.334059,1.61922,2017-10-14,0.0569,0.7405,2017-2018,LaLiga
Eibar,La Coruña,0.565592,0.470714,2017-10-15,0.2981,0.248,2017-2018,LaLiga
Fiorentina,Udinese,2.78325,0.333391,2017-10-15,0.9341,0.009,2017-2018,SerieA
Brighton,Everton,1.05884,1.45518,2017-10-15,0.2228,0.4687,2017-2018,EPL
Bordeaux,Nantes,0.996615,1.16816,2017-10-15,0.2908,0.4024,2017-2018,Ligue1
Cagliari,Genoa,1.2394,1.97903,2017-10-15,0.1904,0.5542,2017-2018,SerieA
Sampdoria,Atalanta,1.52162,3.12444,2017-10-15,0.1079,0.7287,2017-2018,SerieA
Sassuolo,Chievo,1.69541,0.511616,2017-10-15,0.7066,0.0823,2017-2018,SerieA
Crotone,Torino,0.389049,2.00671,2017-10-15,0.0434,0.8123,2017-2018,SerieA
Bologna,SPAL,1.93187,0.382431,2017-10-15,0.8429,0.0273,2017-2018,SerieA
Leverkusen,Wolfsburg,1.45073,0.915577,2017-10-15,0.5037,0.224,2017-2018,Bundesliga
Girona,Villarreal,1.77848,1.23084,2017-10-15,0.5009,0.2503,2017-2018,LaLiga
Montpellier,Nice,1.39101,1.94389,2017-10-15,0.2344,0.5182,2017-2018,Ligue1
Southampton,Newcastle Utd,1.71445,0.950997,2017-10-15,0.5864,0.1662,2017-2018,EPL
Werder Bremen,M'Gladbach,1.52059,1.45235,2017-10-15,0.3823,0.352,2017-2018,Bundesliga
Málaga,Leganés,1.13838,1.93807,2017-10-15,0.1581,0.5821,2017-2018,LaLiga
Inter,Milan,2.24514,0.839877,2017-10-15,0.7489,0.0824,2017-2018,SerieA
Betis,Valencia,2.25048,1.95165,2017-10-15,0.4515,0.3124,2017-2018,LaLiga
Strasbourg,Marseille,2.02351,3.0641,2017-10-15,0.1987,0.6077,2017-2018,Ligue1
Hellas Verona,Benevento,1.23201,0.262024,2017-10-16,0.6688,0.0659,2017-2018,SerieA
Leicester City,West Brom,0.964277,0.155254,2017-10-16,0.6125,0.0535,2017-2018,EPL
Las Palmas,Celta Vigo,1.90333,1.68838,2017-10-16,0.434,0.3302,2017-2018,LaLiga
Schalke 04,Mainz 05,1.78667,0.596599,2017-10-20,0.733,0.0635,2017-2018,Bundesliga
Saint-Étienne,Montpellier,1.27005,1.52158,2017-10-20,0.281,0.429,2017-2018,Ligue1
West Ham,Brighton,0.569111,1.98345,2017-10-20,0.0623,0.7836,2017-2018,EPL
Levante,Getafe,0.639709,0.822573,2017-10-21,0.2532,0.3539,2017-2018,LaLiga
Eint Frankfurt,Dortmund,2.74141,2.08809,2017-10-21,0.5416,0.2459,2017-2018,Bundesliga
M'Gladbach,Leverkusen,2.49876,2.24178,2017-10-21,0.4411,0.3278,2017-2018,Bundesliga
RB Leipzig,Stuttgart,0.865444,0.605992,2017-10-21,0.397,0.2355,2017-2018,Bundesliga
Augsburg,Hannover 96,0.864125,0.804724,2017-10-21,0.3392,0.3111,2017-2018,Bundesliga
Manchester City,Burnley,3.71812,0.14859,2017-10-21,0.9879,0.0009,2017-2018,EPL
Stoke City,Bournemouth,1.60117,1.11834,2017-10-21,0.4851,0.2015,2017-2018,EPL
Swansea City,Leicester City,0.559618,1.80814,2017-10-21,0.0671,0.7529,2017-2018,EPL
Huddersfield,Manchester Utd,1.26744,0.807135,2017-10-21,0.5,0.1876,2017-2018,EPL
Newcastle Utd,Crystal Palace,0.270313,0.566845,2017-10-21,0.1494,0.3668,2017-2018,EPL
Betis,Alavés,0.783724,0.618409,2017-10-21,0.3614,0.2585,2017-2018,LaLiga
Monaco,Caen,2.02602,0.382019,2017-10-21,0.8359,0.0321,2017-2018,Ligue1
Sampdoria,Crotone,2.28786,0.589592,2017-10-21,0.8451,0.0356,2017-2018,SerieA
Valencia,Sevilla,1.72867,0.879816,2017-10-21,0.5891,0.1722,2017-2018,LaLiga
Southampton,West Brom,2.02288,0.504128,2017-10-21,0.8115,0.0382,2017-2018,EPL
Hamburger SV,Bayern Munich,0.162992,2.29592,2017-10-21,0.0103,0.9043,2017-2018,Bundesliga
Rennes,Lille,0.743569,0.605216,2017-10-21,0.3529,0.2409,2017-2018,Ligue1
Angers,Toulouse,1.17702,0.418413,2017-10-21,0.5766,0.1197,2017-2018,Ligue1
Amiens,Bordeaux,1.107,0.756311,2017-10-21,0.4606,0.2319,2017-2018,Ligue1
Nantes,Guingamp,0.748019,0.862897,2017-10-21,0.2649,0.3718,2017-2018,Ligue1
Metz,Dijon,0.722398,0.694652,2017-10-21,0.3057,0.3092,2017-2018,Ligue1
Chelsea,Watford,1.78315,1.79693,2017-10-21,0.3729,0.3734,2017-2018,EPL
Barcelona,Málaga,2.19062,0.629202,2017-10-21,0.787,0.0601,2017-2018,LaLiga
Napoli,Inter,1.20848,0.436205,2017-10-21,0.5938,0.1114,2017-2018,SerieA
Villarreal,Las Palmas,2.72022,0.823505,2017-10-22,0.8302,0.0477,2017-2018,LaLiga
Köln,Werder Bremen,1.79566,0.948887,2017-10-22,0.6082,0.1513,2017-2018,Bundesliga
Everton,Arsenal,0.810989,3.86029,2017-10-22,0.0149,0.9344,2017-2018,EPL
Nice,Strasbourg,1.8532,1.15613,2017-10-22,0.5523,0.1964,2017-2018,Ligue1
Torino,Roma,0.490918,0.864033,2017-10-22,0.1863,0.4258,2017-2018,SerieA
Atalanta,Bologna,1.95199,0.242781,2017-10-22,0.8402,0.0263,2017-2018,SerieA
SPAL,Sassuolo,0.481741,2.52212,2017-10-22,0.0244,0.8923,2017-2018,SerieA
Milan,Genoa,0.724916,0.410308,2017-10-22,0.3932,0.1853,2017-2018,SerieA
Benevento,Fiorentina,0.182665,2.49371,2017-10-22,0.007,0.9455,2017-2018,SerieA
Freiburg,Hertha BSC,2.83818,1.83067,2017-10-22,0.6238,0.1425,2017-2018,Bundesliga
Troyes,Lyon,0.277198,3.27703,2017-10-22,0.0047,0.9673,2017-2018,Ligue1
Tottenham,Liverpool,2.62043,0.667771,2017-10-22,0.848,0.0429,2017-2018,EPL
Udinese,Juventus,1.28225,1.58883,2017-10-22,0.2919,0.4401,2017-2018,SerieA
Wolfsburg,Hoffenheim,1.29664,1.91537,2017-10-22,0.1866,0.5401,2017-2018,Bundesliga
Leganés,Athletic Club,0.800353,0.726155,2017-10-22,0.3212,0.2959,2017-2018,LaLiga
Chievo,Hellas Verona,2.90477,1.33058,2017-10-22,0.7547,0.0786,2017-2018,SerieA
Lazio,Cagliari,2.06641,0.637448,2017-10-22,0.7706,0.0688,2017-2018,SerieA
Real Madrid,Eibar,1.54139,0.359568,2017-10-22,0.7088,0.0675,2017-2018,LaLiga
Marseille,Paris S-G,1.31442,0.324335,2017-10-22,0.6826,0.0683,2017-2018,Ligue1
Celta Vigo,Atlético Madrid,0.895385,1.14703,2017-10-23,0.2469,0.4435,2017-2018,LaLiga
Real Sociedad,Espanyol,1.33975,0.610458,2017-10-23,0.5538,0.1423,2017-2018,LaLiga
La Coruña,Girona,1.93154,1.63012,2017-10-23,0.4464,0.2689,2017-2018,LaLiga
Inter,Sampdoria,3.08506,1.06402,2017-10-24,0.8351,0.049,2017-2018,SerieA
Atalanta,Hellas Verona,2.21406,1.41371,2017-10-25,0.5592,0.209,2017-2018,SerieA
Bologna,Lazio,0.887713,2.73733,2017-10-25,0.0442,0.8334,2017-2018,SerieA
Genoa,Napoli,1.28272,1.19271,2017-10-25,0.378,0.2898,2017-2018,SerieA
Juventus,SPAL,1.25151,0.910025,2017-10-25,0.4214,0.2518,2017-2018,SerieA
Sassuolo,Udinese,0.574034,0.909645,2017-10-25,0.2002,0.4364,2017-2018,SerieA
Roma,Crotone,2.40967,0.435674,2017-10-25,0.8649,0.0239,2017-2018,SerieA
Cagliari,Benevento,1.89299,1.30579,2017-10-25,0.5192,0.196,2017-2018,SerieA
Fiorentina,Torino,1.33893,0.875229,2017-10-25,0.4992,0.1858,2017-2018,SerieA
Chievo,Milan,0.735034,1.43727,2017-10-25,0.166,0.5503,2017-2018,SerieA
Mainz 05,Eint Frankfurt,0.284202,0.451566,2017-10-27,0.166,0.2964,2017-2018,Bundesliga
Paris S-G,Nice,3.30483,0.198721,2017-10-27,0.9866,0.001,2017-2018,Ligue1
Alavés,Valencia,0.629433,1.06744,2017-10-28,0.1656,0.51,2017-2018,LaLiga
Manchester Utd,Tottenham,0.943496,1.08708,2017-10-28,0.282,0.3826,2017-2018,EPL
Hannover 96,Dortmund,2.3406,0.85483,2017-10-28,0.7559,0.0768,2017-2018,Bundesliga
Hertha BSC,Hamburger SV,0.827213,0.972895,2017-10-28,0.2837,0.3794,2017-2018,Bundesliga
Schalke 04,Wolfsburg,1.44123,0.979437,2017-10-28,0.4613,0.1733,2017-2018,Bundesliga
Leverkusen,Köln,1.44263,0.850339,2017-10-28,0.5151,0.1695,2017-2018,Bundesliga
Hoffenheim,M'Gladbach,1.08587,1.80818,2017-10-28,0.2027,0.5564,2017-2018,Bundesliga
West Brom,Manchester City,1.11852,2.77085,2017-10-28,0.0535,0.8059,2017-2018,EPL
Arsenal,Swansea City,2.37777,0.8355,2017-10-28,0.7542,0.0766,2017-2018,EPL
Watford,Stoke City,1.13448,0.778883,2017-10-28,0.4367,0.2415,2017-2018,EPL
Liverpool,Huddersfield,2.14257,0.0554802,2017-10-28,0.9358,0.003,2017-2018,EPL
Crystal Palace,West Ham,2.91672,0.742845,2017-10-28,0.8948,0.0214,2017-2018,EPL
Bordeaux,Monaco,1.37964,0.893808,2017-10-28,0.4885,0.2148,2017-2018,Ligue1
Milan,Juventus,1.18528,0.463087,2017-10-28,0.5877,0.1146,2017-2018,SerieA
Bournemouth,Chelsea,0.455055,1.78362,2017-10-28,0.0723,0.7266,2017-2018,EPL
Bayern Munich,RB Leipzig,2.03827,0.314536,2017-10-28,0.8157,0.0358,2017-2018,Bundesliga
Atlético Madrid,Villarreal,1.49933,0.678299,2017-10-28,0.5999,0.1449,2017-2018,LaLiga
Guingamp,Amiens,0.620527,0.354145,2017-10-28,0.3631,0.1781,2017-2018,Ligue1
Caen,Troyes,0.58564,1.13546,2017-10-28,0.1644,0.5214,2017-2018,Ligue1
Strasbourg,Angers,1.62722,0.37517,2017-10-28,0.7658,0.0429,2017-2018,Ligue1
Montpellier,Rennes,1.0658,0.596442,2017-10-28,0.4785,0.1868,2017-2018,Ligue1
Dijon,Nantes,0.325792,1.00906,2017-10-28,0.1,0.5765,2017-2018,Ligue1
Roma,Bologna,0.889903,0.568815,2017-10-28,0.4122,0.2197,2017-2018,SerieA
Athletic Club,Barcelona,0.880742,2.49124,2017-10-28,0.0736,0.7809,2017-2018,LaLiga
Sevilla,Leganés,1.73468,1.02702,2017-10-28,0.557,0.1639,2017-2018,LaLiga
Getafe,Real Sociedad,1.95098,1.14607,2017-10-29,0.6056,0.1714,2017-2018,LaLiga
Benevento,Lazio,0.603107,2.92387,2017-10-29,0.0134,0.9219,2017-2018,SerieA
Brighton,Southampton,1.50533,0.54364,2017-10-29,0.6818,0.082,2017-2018,EPL
Sampdoria,Chievo,1.98109,2.02467,2017-10-29,0.3564,0.3757,2017-2018,SerieA
SPAL,Genoa,0.334111,1.32901,2017-10-29,0.0619,0.6956,2017-2018,SerieA
Lyon,Metz,1.38545,0.506774,2017-10-29,0.6203,0.1083,2017-2018,Ligue1
Napoli,Sassuolo,2.97741,0.343592,2017-10-29,0.9438,0.008,2017-2018,SerieA
Udinese,Atalanta,1.36229,1.36478,2017-10-29,0.3192,0.3225,2017-2018,SerieA
Crotone,Fiorentina,0.985009,0.764825,2017-10-29,0.4032,0.2571,2017-2018,SerieA
Werder Bremen,Augsburg,1.05484,2.80574,2017-10-29,0.0742,0.7919,2017-2018,Bundesliga
Girona,Real Madrid,2.26046,1.58248,2017-10-29,0.5614,0.2049,2017-2018,LaLiga
Toulouse,Saint-Étienne,0.663289,0.962164,2017-10-29,0.2169,0.4428,2017-2018,Ligue1
Leicester City,Everton,1.36768,0.575236,2017-10-29,0.6136,0.1247,2017-2018,EPL
Stuttgart,Freiburg,1.36244,0.210495,2017-10-29,0.7235,0.0448,2017-2018,Bundesliga
Eibar,Levante,1.41711,0.90967,2017-10-29,0.4872,0.2147,2017-2018,LaLiga
Torino,Cagliari,2.64656,0.685883,2017-10-29,0.8381,0.0421,2017-2018,SerieA
Málaga,Celta Vigo,2.03731,1.07069,2017-10-29,0.6623,0.1212,2017-2018,LaLiga
Lille,Marseille,0.665171,1.06909,2017-10-29,0.2041,0.48,2017-2018,Ligue1
Hellas Verona,Inter,1.01025,1.11384,2017-10-30,0.3006,0.3356,2017-2018,SerieA
Las Palmas,La Coruña,0.546481,1.90215,2017-10-30,0.0628,0.7654,2017-2018,LaLiga
Burnley,Newcastle Utd,1.0271,0.516369,2017-10-30,0.5034,0.159,2017-2018,EPL
Espanyol,Betis,0.731922,0.378493,2017-10-30,0.4171,0.1664,2017-2018,LaLiga
Eint Frankfurt,Werder Bremen,1.92121,1.08479,2017-11-03,0.6021,0.1637,2017-2018,Bundesliga
Betis,Getafe,0.83579,0.828956,2017-11-03,0.3367,0.3214,2017-2018,LaLiga
Rennes,Bordeaux,0.816595,0.329157,2017-11-03,0.488,0.1227,2017-2018,Ligue1
Valencia,Leganés,2.31415,1.32036,2017-11-04,0.6237,0.1531,2017-2018,LaLiga
Stoke City,Leicester City,1.22988,1.39563,2017-11-04,0.3235,0.3995,2017-2018,EPL
RB Leipzig,Hannover 96,1.8547,0.769041,2017-11-04,0.6942,0.1062,2017-2018,Bundesliga
Freiburg,Schalke 04,0.902185,0.749202,2017-11-04,0.3646,0.2766,2017-2018,Bundesliga
M'Gladbach,Mainz 05,0.786005,0.834092,2017-11-04,0.3009,0.3406,2017-2018,Bundesliga
Augsburg,Leverkusen,1.40776,1.16695,2017-11-04,0.4135,0.283,2017-2018,Bundesliga
Hamburger SV,Stuttgart,2.0244,1.21993,2017-11-04,0.5666,0.1779,2017-2018,Bundesliga
Newcastle Utd,Bournemouth,0.676091,1.28703,2017-11-04,0.1782,0.5301,2017-2018,EPL
Huddersfield,West Brom,0.260436,0.382005,2017-11-04,0.1653,0.2532,2017-2018,EPL
Swansea City,Brighton,1.24557,0.874927,2017-11-04,0.4366,0.2053,2017-2018,EPL
Southampton,Burnley,0.789259,0.137743,2017-11-04,0.5143,0.0604,2017-2018,EPL
La Coruña,Atlético Madrid,0.420272,0.493918,2017-11-04,0.2324,0.2873,2017-2018,LaLiga
Angers,Paris S-G,0.663491,2.78391,2017-11-04,0.0295,0.8693,2017-2018,Ligue1
Bologna,Crotone,0.953537,2.02039,2017-11-04,0.1068,0.6896,2017-2018,SerieA
West Ham,Liverpool,1.13045,2.8773,2017-11-04,0.0689,0.7905,2017-2018,EPL
Dortmund,Bayern Munich,1.89107,1.27845,2017-11-04,0.5242,0.2211,2017-2018,Bundesliga
Alavés,Espanyol,1.01634,0.684307,2017-11-04,0.4185,0.2344,2017-2018,LaLiga
Montpellier,Amiens,0.901077,0.497744,2017-11-04,0.4631,0.1735,2017-2018,Ligue1
Monaco,Guingamp,2.94988,0.299641,2017-11-04,0.9461,0.0104,2017-2018,Ligue1
Troyes,Strasbourg,2.42579,0.886377,2017-11-04,0.7848,0.0594,2017-2018,Ligue1
Nantes,Toulouse,0.990379,0.79584,2017-11-04,0.382,0.2878,2017-2018,Ligue1
Genoa,Sampdoria,1.03708,1.68517,2017-11-04,0.1915,0.556,2017-2018,SerieA
Barcelona,Sevilla,1.95413,0.354156,2017-11-05,0.8069,0.0421,2017-2018,LaLiga
Levante,Girona,0.648662,1.61579,2017-11-05,0.1013,0.6559,2017-2018,LaLiga
Inter,Torino,1.63539,1.12737,2017-11-05,0.4848,0.2257,2017-2018,SerieA
Tottenham,Crystal Palace,0.991813,1.10222,2017-11-05,0.3094,0.371,2017-2018,EPL
Fiorentina,Roma,1.19222,2.30318,2017-11-05,0.1511,0.6478,2017-2018,SerieA
Nice,Dijon,1.30297,0.572627,2017-11-05,0.5972,0.1216,2017-2018,Ligue1
Cagliari,Hellas Verona,2.37656,0.773273,2017-11-05,0.7824,0.0667,2017-2018,SerieA
Chievo,Napoli,0.646501,0.707574,2017-11-05,0.3025,0.299,2017-2018,SerieA
Juventus,Benevento,3.09066,0.114939,2017-11-05,0.9613,0.0035,2017-2018,SerieA
Manchester City,Arsenal,2.15028,0.340407,2017-11-05,0.8816,0.0223,2017-2018,EPL
Köln,Hoffenheim,0.857394,3.01942,2017-11-05,0.035,0.8695,2017-2018,Bundesliga
Celta Vigo,Athletic Club,1.22047,1.26285,2017-11-05,0.3445,0.3666,2017-2018,LaLiga
Metz,Lille,2.45958,1.51839,2017-11-05,0.6044,0.1801,2017-2018,Ligue1
Marseille,Caen,4.03445,1.02028,2017-11-05,0.9302,0.0195,2017-2018,Ligue1
Everton,Watford,2.5796,2.05534,2017-11-05,0.4983,0.2394,2017-2018,EPL
Chelsea,Manchester Utd,1.8417,0.773586,2017-11-05,0.6519,0.1193,2017-2018,EPL
Wolfsburg,Hertha BSC,2.40074,1.4853,2017-11-05,0.6055,0.1542,2017-2018,Bundesliga
Atalanta,SPAL,0.823876,0.898073,2017-11-05,0.2987,0.3483,2017-2018,SerieA
