League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
SerieA,2017-2018,Inter,2017-09-10,5435,2.0,1,2.5177283,0.7961719,SPAL,0.0,0,1.8387535,1.0737191
LaLiga,2017-2018,La Coruña,2017-09-10,6959,2.0,0,0.7864795,0.9827951,Real Sociedad,4.0,1,1.3043768,0.96709853
EPL,2017-2018,Swansea City,2017-09-10,1178,0.0,0,0.8992977,0.8660194,Newcastle Utd,1.0,1,0.7889719,0.87341785
EPL,2017-2018,Burnley,2017-09-10,1177,1.0,1,0.8421993,0.9624722,Crystal Palace,0.0,0,0.6304513,1.106686
EPL,2017-2018,West Ham,2017-09-11,1179,2.0,1,0.88343656,0.8483045,Huddersfield,0.0,0,0.82269204,1.1473007
LaLiga,2017-2018,Málaga,2017-09-11,6963,1.0,0,0.99558747,0.9663888,Las Palmas,3.0,1,1.2745829,1.1473321
Ligue1,2017-2018,Toulouse,2017-09-15,2712,0.0,0,0.7105937,0.981436,Bordeaux,1.0,1,0.9978559,0.82829005
EPL,2017-2018,Bournemouth,2017-09-15,1180,2.0,1,1.685472,0.8427922,Brighton,1.0,0,0.81421804,0.9854824
LaLiga,2017-2018,Eibar,2017-09-15,6964,1.0,1,0.6773966,1.1565018,Leganés,0.0,0,0.76124704,1.0173591
Bundesliga,2017-2018,Hannover 96,2017-09-15,3993,2.0,1,1.300477,0.9010365,Hamburger SV,0.0,0,0.84122396,0.99026567
SerieA,2017-2018,Crotone,2017-09-16,5443,0.0,0,0.7644164,1.02621,Inter,2.0,1,1.2498424,0.8794611
SerieA,2017-2018,Fiorentina,2017-09-16,5444,2.0,1,0.82536125,1.0356953,Bologna,1.0,0,0.66544724,0.9523473
SerieA,2017-2018,Roma,2017-09-16,5445,3.0,1,2.3997812,0.7563984,Hellas Verona,0.0,0,1.5659604,0.97487265
LaLiga,2017-2018,Atlético Madrid,2017-09-16,6968,1.0,1,1.1792762,0.80622196,Málaga,0.0,0,0.9696704,0.956525
LaLiga,2017-2018,Betis,2017-09-16,6967,2.0,1,0.85431606,1.2854915,La Coruña,1.0,0,0.9811348,0.8847782
LaLiga,2017-2018,Getafe,2017-09-16,6966,1.0,0,0.8039281,1.1806097,Barcelona,2.0,1,1.8970208,0.81377155
EPL,2017-2018,Liverpool,2017-09-16,1182,1.0,0,1.4686594,0.85359883,Burnley,1.0,0,0.8951236,0.9625694
EPL,2017-2018,Watford,2017-09-16,1183,0.0,0,1.0627135,0.99369466,Manchester City,6.0,1,2.5498302,0.7548702
EPL,2017-2018,West Brom,2017-09-16,1184,0.0,0,0.8343821,1.0520074,West Ham,0.0,0,0.6345368,0.9508869
EPL,2017-2018,Huddersfield,2017-09-16,1185,1.0,0,0.7545816,1.0147231,Leicester City,1.0,0,1.0356479,0.9412569
EPL,2017-2018,Newcastle Utd,2017-09-16,1186,2.0,1,1.0430534,0.9364326,Stoke City,1.0,0,0.83680606,1.0276628
EPL,2017-2018,Tottenham,2017-09-16,1187,0.0,0,0.6484878,0.7326017,Swansea City,0.0,0,0.7798796,0.94939005
Bundesliga,2017-2018,Werder Bremen,2017-09-16,3995,1.0,0,0.67412186,1.0108721,Schalke 04,2.0,1,1.3740008,1.0144886
Bundesliga,2017-2018,Stuttgart,2017-09-16,3996,1.0,1,0.9614008,1.1613566,Wolfsburg,0.0,0,1.2935436,0.8382749
