League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
SerieA,2017-2018,Udinese,2017-09-10,5438,1.0,1,0.45686543,1.2249068,Genoa,0.0,0,0.43994334,1.0644933
SerieA,2017-2018,Cagliari,2017-09-10,5437,1.0,1,0.4343923,0.9390106,Crotone,0.0,0,0.38607362,0.77617604
SerieA,2017-2018,Hellas Verona,2017-09-10,5436,0.0,0,0.0,1.1807268,Fiorentina,5.0,1,2.4792197,1.1020334
Bundesliga,2017-2018,Hertha BSC,2017-09-10,3991,1.0,0,0.49880734,1.2461787,Werder Bremen,1.0,0,0.14810511,0.87872255
SerieA,2017-2018,Inter,2017-09-10,5435,2.0,1,4.4716234,1.5343521,SPAL,0.0,0,1.1131092,1.0203849
LaLiga,2017-2018,La Coruña,2017-09-10,6959,2.0,0,0.1394726,0.97726125,Real Sociedad,4.0,1,0.88378686,0.8908281
EPL,2017-2018,Swansea City,2017-09-10,1178,0.0,0,0.3318305,0.7469555,Newcastle Utd,1.0,1,0.38352254,0.8597256
EPL,2017-2018,Burnley,2017-09-10,1177,1.0,1,0.1979739,0.77617604,Crystal Palace,0.0,0,0.0,0.77617604
EPL,2017-2018,West Ham,2017-09-11,1179,2.0,1,0.0,0.77617604,Huddersfield,0.0,0,0.33291635,1.0944169
LaLiga,2017-2018,Málaga,2017-09-11,6963,1.0,0,0.2212379,1.2797599,Las Palmas,3.0,1,0.7358187,1.1964139
Ligue1,2017-2018,Toulouse,2017-09-15,2712,0.0,0,0.4671276,0.77617604,Bordeaux,1.0,1,0.80104625,0.77617604
EPL,2017-2018,Bournemouth,2017-09-15,1180,2.0,1,2.2221212,1.8670185,Brighton,1.0,0,0.034052484,0.8756474
LaLiga,2017-2018,Eibar,2017-09-15,6964,1.0,1,0.0,0.7895554,Leganés,0.0,0,0.1635637,0.77617604
Bundesliga,2017-2018,Hannover 96,2017-09-15,3993,2.0,1,0.26938054,0.78086364,Hamburger SV,0.0,0,0.0,0.867612
SerieA,2017-2018,Crotone,2017-09-16,5443,0.0,0,0.13667884,0.99993366,Inter,2.0,1,0.6361544,1.0677533
SerieA,2017-2018,Fiorentina,2017-09-16,5444,2.0,1,0.18387485,1.3340963,Bologna,1.0,0,0.2508053,0.7941277
SerieA,2017-2018,Roma,2017-09-16,5445,3.0,1,2.7947397,0.9940011,Hellas Verona,0.0,0,1.126349,1.1056638
LaLiga,2017-2018,Atlético Madrid,2017-09-16,6968,1.0,1,1.1060233,1.5057106,Málaga,0.0,0,0.3505378,0.77617604
LaLiga,2017-2018,Betis,2017-09-16,6967,2.0,1,0.75175864,1.3397902,La Coruña,1.0,0,0.7523944,0.77617604
LaLiga,2017-2018,Getafe,2017-09-16,6966,1.0,0,0.0,1.2268207,Barcelona,2.0,1,2.262668,1.3918624
